Age,Income (USD),Income Stability,Profession,Type of Employment,Location,Loan Amount Request (USD),Current Loan Expenses (USD),Expense Type 1,Expense Type 2,Dependents,Credit Score,No. of Defaults,Has Active Credit Card,Property Age,Property Type,Property Location,Co-Applicant,Property Price,Loan Sanction Amount (USD),DebtToIncomeRatio,LoanToPropertyRatio,TotalFinancialBurden
56,1933.05,0,2,5,1,72809.58,241.08,0,0,3.0,809.44,0,2,1933.05,4,0,1,119933.46,54607.18,0.12465034513068432,0.6070780658036063,73050.66
32,4952.91,0,2,7,1,46837.47,495.81,0,1,1.0,780.4,0,1,4952.91,2,0,1,54791.0,37469.98,0.10008457965526221,0.8548231493648708,47333.28
65,988.19,1,5,7,1,45593.04,171.95,0,1,1.0,833.15,0,1,988.19,2,2,0,72440.58,36474.43,0.17382909248981487,0.6293766646171991,45764.99
65,2223.3,1,5,7,0,80057.92,298.54,0,1,2.0,832.7,1,1,2223.965,2,1,1,121441.51,56040.54,0.13421750663129972,0.6592248463902797,80356.45999999999
31,2614.77,0,2,13,1,113858.89,491.41,0,1,2.0,745.55,1,2,2614.77,4,1,1,208567.91,74008.28,0.18786437645511647,0.5459053796656462,114350.3
60,1234.92,0,4,14,0,34434.72,181.48,0,0,2.0,684.12,1,0,1234.92,2,0,1,43146.82,22382.57,0.1468379830409735,0.7980639578082972,34616.200000000004
43,2361.56,0,2,7,1,152561.34,697.67,1,1,2.0,637.29,0,1,2361.56,1,1,1,221050.8,0.0,0.295302553162671,0.6901610391772426,153259.01
45,2223.3,0,4,17,1,240311.77,807.64,0,0,2.0,812.26,0,2,2223.965,2,2,1,401040.7,168218.24,0.3630985028997887,0.5992189091558309,241119.41
38,1296.07,0,2,2,0,35141.99,155.95,0,1,3.0,705.29,1,2,1296.07,4,0,1,54903.44,22842.29,0.12023252407348871,0.6400573432676847,35297.939999999995
18,1546.17,0,2,7,0,42091.29,500.2,0,0,2.0,613.24,0,1,1546.17,2,2,1,67993.43,0.0,0.3232999605731755,0.619040265504101,42591.49
18,2416.86,0,4,12,1,25765.72,140.02,0,1,1.0,652.41,0,2,2416.86,2,0,1,32423.71,16747.72,0.0579107144334246,0.7946322418920633,25905.74
39,2719.74,0,3,13,1,20879.96,93.99,1,0,2.0,646.21,0,2,2719.74,2,0,0,33568.47,0.0,0.034545748583106065,0.6219925426287636,20973.95
48,777.25,0,2,7,1,96080.6,342.33,0,0,3.0,764.11,0,2,777.25,1,1,1,146073.26,67256.42,0.4398715065852875,0.6577517490076623,96422.93000000001
43,997.25,0,2,7,0,48894.06,178.06,1,0,1.0,726.28,0,2,997.25,4,0,1,80607.4,34225.84,0.17837215126471326,0.6065628396048055,49072.119999999995
